OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
421,2023,SLE,6989,6989,544,545,499451,0
422,2023,SVC,6973,6973,1249,1253,0,0
423,2023,RKD,6879,6879,1302,1290,0,0
424,2023,MGW,6825,6825,1533,1546,0,0
425,2023,TEB,6482,6498,1536,1460,2558,0
426,2023,DDC,6432,8972,614,617,630,0
427,2023,HNS,6306,7520,1640,1647,68227,48416
428,2023,LNS,6230,6230,1415,1407,0,0
429,2023,FOD,6195,12029,618,618,0,0
430,2023,MBL,6021,6021,1058,1060,0,0
431,2023,MSL,5907,5907,359,359,0,0
432,2023,OGS,5792,5792,577,577,0,0
433,2023,HNH,5790,5821,1370,1384,36600,26966
434,2023,MCW,5780,8263,608,607,0,0
435,2023,KEH,5642,5806,2765,2775,15,0
436,2023,CXF,5634,6404,1347,1332,4376,713
437,2023,DUJ,5567,5567,1564,1512,0,0
438,2023,WFB,5556,5558,2759,2729,768422,695702
439,2023,PDT,5544,5670,1088,1090,0,0
440,2023,FYU,5506,6673,1666,1668,20162,7869
441,2023,DRT,5320,5320,619,681,473628,0
442,2023,AUG,5308,5308,1116,1116,0,0
443,2023,RBH,5281,5281,997,1040,31180,0
444,2023,RUT,5179,5179,986,977,0,0
445,2023,DSI,5141,5194,320,323,0,0
446,2023,KWN,5119,5632,2500,2498,10965,17817
447,2023,OPF,5047,5131,571,561,23334,0
448,2023,CNM,5025,5232,938,937,0,0
449,2023,HHR,4955,4970,1067,1026,0,0
450,2023,MSS,4954,5295,972,970,0,0
451,2023,SGY,4953,5400,1299,1305,26229,57956
452,2023,KSM,4911,6713,2974,2902,491190,1259844
453,2023,BKW,4880,18320,1439,1187,367333,0
454,2023,SLK,4876,4876,1035,1028,0,0
455,2023,VAK,4704,6079,2019,2020,17233,8129
456,2023,UIN,4698,4698,1360,1338,0,0
457,2023,ANI,4624,5221,3098,3093,689939,2733993
458,2023,HRO,4556,4556,757,751,0,0
459,2023,MKG,4488,4488,1228,1230,13700,0
460,2023,KPN,4466,5360,2083,2087,21348,11262
461,2023,MKC,4382,4382,121,127,181987,0
462,2023,PKB,4377,7014,611,918,0,0
463,2023,MRI,4362,4423,2350,2008,734348,37570
464,2023,AIA,4328,4328,620,627,0,0
465,2023,HPB,4314,5633,2148,2156,19580,15602
466,2023,IRK,4281,4281,800,795,0,0
467,2023,VDZ,4220,4220,323,321,37695,285
468,2023,RCE,4132,4285,1189,1231,15,0
469,2023,FBS,4061,4153,1320,1254,0,0
470,2023,BRL,4061,4061,958,947,0,0
471,2023,PHO,4052,4533,1601,1603,36919,12922
472,2023,CLD,4042,4078,255,261,0,0
473,2023,WLK,3970,4590,1441,1441,44038,5364
474,2023,BFD,3894,3894,1053,1042,0,0
475,2023,MMH,3861,3875,267,265,0,0
476,2023,GYY,3847,3847,392,380,8804530,17643
477,2023,MCE,3794,3794,1080,1088,0,0
478,2023,SOW,3728,3728,733,729,0,0
479,2023,HOT,3721,3721,747,749,0,0
480,2023,WTK,3698,4607,1266,1267,56698,12348
481,2023,JHM,3683,3683,982,1264,234866,0
482,2023,BKC,3615,4448,1361,1360,15816,6306
483,2023,KAE,3605,3793,1101,1133,24384,8679
484,2023,MUE,3598,3598,685,690,0,0
485,2023,SCM,3583,4935,1646,1643,27531,8344
486,2023,SQL,3546,3546,1092,1084,0,0
487,2023,YIP,3528,3534,1405,1392,1456336,0
488,2023,ILI,3488,3488,1769,1773,57997,273467
489,2023,SHH,3477,3880,1246,1246,34436,12448
490,2023,ORV,3410,4980,1401,1402,40605,8222
491,2023,KUK,3386,4386,2275,2278,6011,5549
492,2023,SOV,3379,4179,2297,2287,4292,0
493,2023,PUB,3358,5221,844,825,0,0
494,2023,SVA,3310,4746,1276,1277,67785,13409
495,2023,HSL,3304,3747,1000,1010,19968,8014
496,2023,TCL,3257,3257,81,81,3200,0
497,2023,CPS,3252,3252,111,111,7410,0
498,2023,MKL,3245,3245,782,769,0,0
499,2023,FOE,3226,3226,53,62,2916,0
500,2023,AOO,3206,3206,548,548,0,0
501,2023,PQS,3195,4238,2600,2604,6764,10005
502,2023,OOK,3194,3904,1808,1812,9030,16353
