Bus,busmap
10934,US0 31
10935,US0 86
10936,US0 86
10937,US0 31
10938,US0 31
10940,US0 86
10941,US0 34
10942,US0 34
10944,US0 86
10945,US0 86
10946,US0 31
10947,US0 66
10948,US0 66
10949,US0 34
1095,US0 47
10950,US0 66
10951,US0 66
10953,US0 66
10954,US0 5
10956,US0 66
10957,US0 9
10958,US0 9
10959,US0 9
10962,US0 9
10963,US0 66
10964,US0 9
10965,US0 9
10967,US0 9
10969,US0 9
1097,US0 47
10971,US0 9
10972,US0 9
10974,US0 9
10975,US0 9
10976,US0 9
10978,US0 9
10979,US0 9
10980,US0 9
10981,US0 9
10983,US0 66
10984,US0 66
10986,US0 66
10989,US0 66
1099,US0 5
10991,US0 9
10993,US0 9
10994,US0 9
10995,US0 66
10996,US0 9
10998,US0 9
11,US0 97
11000,US0 66
11005,US0 52
11008,US0 52
11010,US0 52
11011,US0 66
11013,US0 52
11014,US0 66
11015,US0 52
11016,US0 52
11017,US0 52
11018,US0 52
1102,US0 5
11020,US0 52
11022,US0 52
11023,US0 52
11025,US0 31
11026,US0 31
11027,US0 86
11028,US0 86
11029,US0 86
11030,US0 86
11031,US0 31
11032,US0 31
11034,US0 86
11035,US0 86
11036,US0 34
11037,US0 31
11038,US0 31
1104,US0 5
11040,US0 31
11042,US0 31
11043,US0 86
11045,US0 34
11046,US0 31
11047,US0 86
11049,US0 34
11050,US0 86
11051,US0 86
11052,US0 91
11053,US0 31
11054,US0 86
11055,US0 9
11058,US0 9
11059,US0 86
11060,US0 66
11061,US0 66
11063,US0 66
11064,US0 52
11067,US0 96
11069,US0 52
1107,US0 30
11071,US0 96
11072,US0 78
11074,US0 24
11075,US0 78
11076,US0 96
11077,US0 24
11079,US0 58
11080,US0 58
11084,US0 95
11085,US0 96
11086,US0 8
11087,US0 96
11088,US0 96
1109,US0 49
11090,US0 96
11092,US0 8
11093,US0 96
11094,US0 96
11096,US0 58
11097,US0 58
11098,US0 58
11099,US0 58
111,US0 77
11100,US0 58
11101,US0 58
11102,US0 58
11103,US0 58
11104,US0 24
11105,US0 24
11106,US0 58
11108,US0 58
11109,US0 78
1111,US0 5
11111,US0 96
11112,US0 96
11113,US0 96
11114,US0 51
11115,US0 95
11116,US0 95
11117,US0 51
11120,US0 95
11121,US0 78
11122,US0 43
11123,US0 43
11125,US0 58
11126,US0 43
11127,US0 43
11128,US0 43
11129,US0 43
1113,US0 49
11130,US0 43
11131,US0 43
11133,US0 78
11137,US0 43
11138,US0 43
11139,US0 40
11141,US0 95
11144,US0 95
11145,US0 51
11147,US0 24
11148,US0 95
11149,US0 24
11151,US0 24
11154,US0 24
11156,US0 24
11157,US0 95
11158,US0 97
11159,US0 97
1116,US0 14
11161,US0 97
11162,US0 97
11163,US0 97
11164,US0 40
11165,US0 40
11166,US0 97
11167,US0 51
11168,US0 51
11169,US0 43
1117,US0 90
11170,US0 8
11171,US0 97
11172,US0 8
11173,US0 8
11174,US0 58
11176,US0 58
11177,US0 43
11178,US0 58
11179,US0 8
11181,US0 58
11183,US0 8
11184,US0 24
11185,US0 24
11186,US0 24
11188,US0 95
11189,US0 95
1119,US0 72
11190,US0 95
11191,US0 95
11192,US0 96
11193,US0 95
11194,US0 95
11196,US0 17
11197,US0 8
11198,US0 97
11199,US0 40
11200,US0 24
11202,US0 43
11203,US0 96
11204,US0 95
11205,US0 51
11206,US0 43
11208,US0 43
11209,US0 95
1121,US0 69
11210,US0 95
11211,US0 95
11212,US0 96
11214,US0 96
11216,US0 96
11218,US0 78
11220,US0 78
11223,US0 95
11225,US0 95
11226,US0 96
11228,US0 95
11229,US0 95
1123,US0 69
11231,US0 95
11234,US0 24
11235,US0 24
11237,US0 24
11239,US0 24
1124,US0 49
11240,US0 24
11241,US0 24
11243,US0 17
11244,US0 24
11246,US0 40
11247,US0 40
11248,US0 43
11249,US0 43
1125,US0 49
11250,US0 43
11252,US0 97
11253,US0 43
11255,US0 96
11257,US0 96
11259,US0 4
1126,US0 49
11260,US0 96
11261,US0 58
11262,US0 8
11263,US0 8
11264,US0 24
11265,US0 40
11266,US0 58
11267,US0 58
11268,US0 8
11269,US0 95
11271,US0 24
11272,US0 51
11274,US0 96
11275,US0 8
11276,US0 51
11277,US0 96
11278,US0 96
11279,US0 96
1128,US0 69
11280,US0 51
11281,US0 51
11282,US0 24
11283,US0 51
11285,US0 40
11287,US0 40
11288,US0 96
11291,US0 78
11292,US0 95
11293,US0 8
11294,US0 96
11296,US0 8
11297,US0 51
11299,US0 40
113,US0 28
11300,US0 43
11302,US0 78
11303,US0 40
11304,US0 43
11306,US0 78
11308,US0 78
11309,US0 78
1131,US0 15
11310,US0 40
11312,US0 95
11313,US0 58
11316,US0 43
11319,US0 43
11320,US0 40
11321,US0 43
11322,US0 43
11323,US0 4
11325,US0 17
11327,US0 96
11328,US0 96
11329,US0 96
11330,US0 96
11331,US0 96
11334,US0 43
11335,US0 43
11336,US0 43
11337,US0 43
11338,US0 24
11339,US0 24
1134,US0 35
11340,US0 97
11341,US0 97
11342,US0 78
11343,US0 97
11344,US0 97
11345,US0 58
11346,US0 97
11348,US0 51
1135,US0 35
11350,US0 51
11351,US0 40
11352,US0 51
11353,US0 95
11354,US0 95
11355,US0 95
11357,US0 78
11358,US0 4
11359,US0 78
11360,US0 78
11361,US0 96
11363,US0 96
11364,US0 58
11365,US0 58
11366,US0 58
11368,US0 40
11369,US0 78
11371,US0 78
11372,US0 58
11373,US0 40
11374,US0 58
11375,US0 78
11377,US0 58
11378,US0 40
1138,US0 67
11382,US0 43
11385,US0 95
11387,US0 78
11388,US0 96
11389,US0 40
1139,US0 67
11390,US0 96
11391,US0 96
11393,US0 97
11394,US0 97
11395,US0 97
11396,US0 97
11397,US0 96
11398,US0 58
11399,US0 96
11400,US0 96
11401,US0 96
11402,US0 96
11404,US0 96
11405,US0 96
11406,US0 96
11407,US0 97
11410,US0 97
11411,US0 51
11413,US0 8
11414,US0 96
11415,US0 96
11416,US0 58
1142,US0 35
11420,US0 95
11422,US0 8
11423,US0 97
11424,US0 97
11425,US0 97
11426,US0 49
11429,US0 95
11431,US0 77
11432,US0 77
11434,US0 88
11435,US0 8
11437,US0 88
11438,US0 48
1144,US0 69
11440,US0 88
11441,US0 77
11442,US0 92
11445,US0 92
11448,US0 92
11449,US0 92
11450,US0 92
11452,US0 6
11453,US0 92
11455,US0 6
11456,US0 6
11457,US0 92
1146,US0 15
11460,US0 33
11462,US0 92
11463,US0 48
11465,US0 48
11466,US0 6
11467,US0 6
11468,US0 47
11469,US0 6
11472,US0 6
11473,US0 6
11474,US0 92
11476,US0 77
11477,US0 77
11478,US0 92
11480,US0 48
11481,US0 48
11482,US0 48
11483,US0 92
11485,US0 92
11487,US0 77
11488,US0 6
11489,US0 48
1149,US0 36
11490,US0 48
11492,US0 77
11493,US0 77
11495,US0 48
11499,US0 48
115,US0 28
11501,US0 48
11502,US0 48
11504,US0 48
11505,US0 48
11506,US0 48
11507,US0 48
11508,US0 92
11509,US0 92
11511,US0 47
11513,US0 47
11515,US0 92
11516,US0 77
11518,US0 88
1152,US0 13
11520,US0 88
11521,US0 77
11522,US0 77
11523,US0 48
11524,US0 92
11528,US0 48
11529,US0 47
1153,US0 13
11530,US0 77
11531,US0 20
11532,US0 20
11533,US0 97
11534,US0 40
11535,US0 40
11536,US0 51
11537,US0 51
11538,US0 40
11539,US0 51
11540,US0 51
11542,US0 97
11545,US0 95
11546,US0 40
11548,US0 40
1155,US0 36
11550,US0 40
11551,US0 97
11553,US0 97
11554,US0 78
11555,US0 76
11556,US0 6
11557,US0 47
11559,US0 20
11560,US0 76
11561,US0 76
11562,US0 76
11563,US0 71
11564,US0 76
11565,US0 76
11566,US0 11
11567,US0 71
11568,US0 76
11569,US0 76
1157,US0 13
11570,US0 76
11572,US0 11
11573,US0 76
11574,US0 76
11576,US0 76
11577,US0 76
11578,US0 47
11581,US0 76
11582,US0 76
11583,US0 76
11584,US0 76
